trade_number,time,equity
1,2026-04-10 17:25:00,9995.6776232157
2,2026-04-10 12:40:00,10024.37869347338
3,2026-04-13 15:50:00,10063.868862237325
4,2026-04-13 15:45:00,10100.271061081661
5,2026-04-14 15:00:00,10120.876620353838
6,2026-04-14 17:25:00,10134.932193583947
7,2026-04-15 10:25:00,10162.652157337883
8,2026-04-21 10:55:00,10202.086368873548
9,2026-04-21 10:25:00,10228.210577187954
10,2026-04-27 11:20:00,10269.301354595014
11,2026-04-27 13:20:00,10294.239372449283
12,2026-04-28 17:25:00,10279.900847930894
13,2026-04-28 13:25:00,10255.869034082005
14,2026-04-30 12:15:00,10317.94282473224
15,2026-05-04 11:35:00,10258.811171323587
16,2026-05-06 13:50:00,10318.621101231538
17,2026-05-06 10:50:00,10414.12474931768
18,2026-05-07 10:55:00,10320.58011199329
19,2026-05-07 10:35:00,10266.855019203007
20,2026-05-11 15:30:00,10349.538152213854
21,2026-05-11 17:25:00,10350.933582348951
22,2026-05-12 17:25:00,10263.721446432346
23,2026-05-13 12:55:00,10349.635873367568
24,2026-05-19 12:35:00,10392.62472665045
25,2026-05-19 15:45:00,10348.292619549953
26,2026-05-20 14:55:00,10386.39646158935
27,2026-05-20 12:25:00,10411.082630477908
28,2026-05-21 11:25:00,10440.882245424738
29,2026-05-21 15:50:00,10487.150663376175
30,2026-05-22 16:00:00,10551.432483585555
31,2026-05-22 14:10:00,10572.741278664296
32,2026-05-25 13:30:00,10607.808173284096
33,2026-05-25 17:25:00,10638.68742394558
34,2026-06-01 15:00:00,10584.981359831238
35,2026-06-01 17:25:00,10599.719112055373
36,2026-06-02 16:15:00,10677.498104434919
37,2026-06-03 16:15:00,10759.66660088693
38,2026-06-03 17:25:00,10780.515584994924
39,2026-06-04 17:25:00,10756.037516328783
40,2026-06-04 10:35:00,10706.342685157228
41,2026-06-05 12:55:00,10739.170177057184
42,2026-06-09 17:20:00,10704.642517808075
43,2026-06-10 10:05:00,10723.772231448145
44,2026-06-11 12:00:00,10748.75230177931
45,2026-06-11 17:25:00,10757.91129031454
46,2026-06-12 11:50:00,10796.492690027859
47,2026-06-12 11:05:00,10846.918239960243
48,2026-06-16 11:10:00,10823.185351020486
49,2026-06-17 12:45:00,10865.955483392152
50,2026-06-17 16:25:00,10916.263315389091
51,2026-06-18 12:55:00,10903.71393329977
52,2026-06-25 17:25:00,10910.80585902361
53,2026-06-26 17:25:00,10919.660871586275
54,2026-06-30 12:40:00,10947.737643145227
55,2026-06-30 12:50:00,10979.454375514426
56,2026-07-01 12:40:00,10943.99039889056
