ticker,status,current_price,entry_trigger,stop_price,target_price,risk_pct,target_return_pct,gap,opening_range_pct,breakout_time,breakout_price,last_bar,signal_key
ERIC-B.ST,INVALID,105.9000015258789,107.8000030517578,107.1999969482422,108.40000915527344,0.56,0.56,-1.28,0.56,,,2026-07-01 17:20:00,ERIC-B.ST_2026-07-01 17:20:00
EVO.ST,INVALID,671.5999755859375,672.2000122070312,662.5999755859375,681.800048828125,1.43,1.43,-1.18,1.45,,,2026-07-01 17:20:00,EVO.ST_2026-07-01 17:20:00
ABB.ST,NOT_TRIGGERED,1033.0,1057.5,1042.0,1073.0,1.47,1.47,1.93,1.49,,,2026-07-01 17:20:00,ABB.ST_2026-07-01 17:20:00
ALFA.ST,NOT_TRIGGERED,577.7999877929688,578.5999755859375,573.0,584.199951171875,0.97,0.97,1.55,0.98,,,2026-07-01 17:20:00,ALFA.ST_2026-07-01 17:20:00
ATCO-A.ST,NOT_TRIGGERED,194.6499938964844,197.0500030517578,194.1000061035156,200.0,1.5,1.5,1.36,1.52,,,2026-07-01 17:20:00,ATCO-A.ST_2026-07-01 17:20:00
SHB-A.ST,NOT_TRIGGERED,141.64999389648438,142.9499969482422,142.1999969482422,143.6999969482422,0.52,0.52,0.67,0.53,,,2026-07-01 17:20:00,SHB-A.ST_2026-07-01 17:20:00
SEB-A.ST,TRIGGERED,192.1999969482422,192.8999938964844,191.8000030517578,193.9999847412109,0.57,0.57,0.99,0.57,2026-07-01 09:55:00,192.9499969482422,2026-07-01 17:20:00,SEB-A.ST_2026-07-01 17:20:00
ABB.ST,INVALID,1030.5,1022.0,1012.0,1032.0,0.98,0.98,-3.69,0.99,,,2026-07-02 14:10:00,ABB.ST_2026-07-02 14:10:00
ALFA.ST,INVALID,575.7999877929688,577.7999877929688,570.7999877929688,584.7999877929688,1.21,1.21,-0.17,1.23,,,2026-07-02 14:15:00,ALFA.ST_2026-07-02 14:15:00
ATCO-A.ST,INVALID,193.3999938964844,193.1999969482422,191.8999938964844,194.5,0.67,0.67,-1.98,0.68,,,2026-07-02 14:15:00,ATCO-A.ST_2026-07-02 14:15:00
ERIC-B.ST,INVALID,107.0999984741211,105.6999969482422,105.25,106.14999389648438,0.43,0.43,-2.09,0.43,,,2026-07-02 14:15:00,ERIC-B.ST_2026-07-02 14:15:00
SEB-A.ST,INVALID,195.5500030517578,193.4499969482422,192.8000030517578,194.09999084472656,0.34,0.34,-0.03,0.34,,,2026-07-02 14:15:00,SEB-A.ST_2026-07-02 14:15:00
SHB-A.ST,INVALID,143.1999969482422,142.14999389648438,141.3000030517578,142.99998474121094,0.6,0.6,-0.84,0.6,,,2026-07-02 14:15:00,SHB-A.ST_2026-07-02 14:15:00
EVO.ST,TRIGGERED,689.2000122070312,676.7999877929688,670.7999877929688,682.7999877929688,0.89,0.89,0.81,0.89,2026-07-02 09:40:00,675.4000244140625,2026-07-02 14:15:00,EVO.ST_2026-07-02 14:15:00
ABB.ST,INVALID,1034.5,1022.0,1012.0,1032.0,0.98,0.98,-3.69,0.99,,,2026-07-02 15:00:00,ABB.ST_2026-07-02 15:00:00
ALFA.ST,INVALID,578.0,577.7999877929688,570.7999877929688,584.7999877929688,1.21,1.21,-0.17,1.23,,,2026-07-02 15:05:00,ALFA.ST_2026-07-02 15:05:00
ATCO-A.ST,INVALID,193.6000061035156,193.1999969482422,191.8999938964844,194.5,0.67,0.67,-1.98,0.68,,,2026-07-02 15:05:00,ATCO-A.ST_2026-07-02 15:05:00
ERIC-B.ST,INVALID,106.8000030517578,105.6999969482422,105.25,106.14999389648438,0.43,0.43,-2.09,0.43,,,2026-07-02 15:05:00,ERIC-B.ST_2026-07-02 15:05:00
SEB-A.ST,INVALID,195.8000030517578,193.4499969482422,192.8000030517578,194.09999084472656,0.34,0.34,-0.03,0.34,,,2026-07-02 15:05:00,SEB-A.ST_2026-07-02 15:05:00
SHB-A.ST,INVALID,143.14999389648438,142.14999389648438,141.3000030517578,142.99998474121094,0.6,0.6,-0.84,0.6,,,2026-07-02 15:05:00,SHB-A.ST_2026-07-02 15:05:00
EVO.ST,TRIGGERED,689.7999877929688,676.7999877929688,670.7999877929688,682.7999877929688,0.89,0.89,0.81,0.89,2026-07-02 09:40:00,675.4000244140625,2026-07-02 15:05:00,EVO.ST_2026-07-02 15:05:00
ABB.ST,INVALID,1035.0,1022.0,1012.0,1032.0,0.98,0.98,-3.69,0.99,,,2026-07-02 15:15:00,ABB.ST_2026-07-02 15:15:00
EVO.ST,TRIGGERED,689.2000122070312,676.7999877929688,670.7999877929688,682.7999877929688,0.89,0.89,0.81,0.89,2026-07-02 09:40:00,675.4000244140625,2026-07-02 15:10:00,EVO.ST_2026-07-02 15:10:00
ALFA.ST,INVALID,578.5999755859375,577.7999877929688,570.7999877929688,584.7999877929688,1.21,1.21,-0.17,1.23,,,2026-07-02 15:10:00,ALFA.ST_2026-07-02 15:10:00
ATCO-A.ST,INVALID,193.6000061035156,193.1999969482422,191.8999938964844,194.5,0.67,0.67,-1.98,0.68,,,2026-07-02 15:10:00,ATCO-A.ST_2026-07-02 15:10:00
ERIC-B.ST,INVALID,106.8000030517578,105.6999969482422,105.25,106.14999389648438,0.43,0.43,-2.09,0.43,,,2026-07-02 15:10:00,ERIC-B.ST_2026-07-02 15:10:00
SEB-A.ST,INVALID,196.0,193.4499969482422,192.8000030517578,194.09999084472656,0.34,0.34,-0.03,0.34,,,2026-07-02 15:10:00,SEB-A.ST_2026-07-02 15:10:00
SHB-A.ST,INVALID,143.35000610351562,142.14999389648438,141.3000030517578,142.99998474121094,0.6,0.6,-0.84,0.6,,,2026-07-02 15:10:00,SHB-A.ST_2026-07-02 15:10:00
ALFA.ST,INVALID,578.7999877929688,577.7999877929688,570.7999877929688,584.7999877929688,1.21,1.21,-0.17,1.23,,,2026-07-02 17:20:00,ALFA.ST_2026-07-02 17:20:00
ATCO-A.ST,INVALID,193.1000061035156,193.1999969482422,191.8999938964844,194.5,0.67,0.67,-1.98,0.68,,,2026-07-02 17:20:00,ATCO-A.ST_2026-07-02 17:20:00
ERIC-B.ST,INVALID,105.9000015258789,105.6999969482422,105.25,106.14999389648438,0.43,0.43,-2.09,0.43,,,2026-07-02 17:20:00,ERIC-B.ST_2026-07-02 17:20:00
SEB-A.ST,INVALID,195.6000061035156,193.4499969482422,192.8000030517578,194.09999084472656,0.34,0.34,-0.03,0.34,,,2026-07-02 17:20:00,SEB-A.ST_2026-07-02 17:20:00
SHB-A.ST,INVALID,143.25,142.14999389648438,141.3000030517578,142.99998474121094,0.6,0.6,-0.84,0.6,,,2026-07-02 17:20:00,SHB-A.ST_2026-07-02 17:20:00
ATCO-A.ST,NOT_TRIGGERED,197.3500061035156,196.6999969482422,194.8000030517578,198.59999084472656,0.97,0.97,1.14,0.98,,,2026-07-03 16:05:00,ATCO-A.ST_2026-07-03 16:05:00
ALFA.ST,TRIGGERED,591.5999755859375,584.0,580.0,588.0,0.68,0.68,1.39,0.69,2026-07-03 10:35:00,584.7999877929688,2026-07-03 16:05:00,ALFA.ST_2026-07-03 16:05:00
ERIC-B.ST,TRIGGERED,106.6500015258789,106.0500030517578,105.25,106.85000610351562,0.75,0.75,0.43,0.76,2026-07-03 09:50:00,106.0500030517578,2026-07-03 16:05:00,ERIC-B.ST_2026-07-03 16:05:00
SEB-A.ST,TRIGGERED,197.4499969482422,196.9499969482422,195.9499969482422,197.9499969482422,0.51,0.51,1.61,0.51,2026-07-03 09:40:00,196.8000030517578,2026-07-03 16:05:00,SEB-A.ST_2026-07-03 16:05:00
SHB-A.ST,TRIGGERED,143.5500030517578,143.4499969482422,143.0500030517578,143.84999084472656,0.28,0.28,1.13,0.28,2026-07-03 09:35:00,143.5,2026-07-03 16:05:00,SHB-A.ST_2026-07-03 16:05:00
ATCO-A.ST,NOT_TRIGGERED,197.1499938964844,196.6999969482422,194.8000030517578,198.59999084472656,0.97,0.97,1.14,0.98,,,2026-07-03 17:20:00,ATCO-A.ST_2026-07-03 17:20:00
ALFA.ST,TRIGGERED,591.5999755859375,584.0,580.0,588.0,0.68,0.68,1.39,0.69,2026-07-03 10:35:00,584.7999877929688,2026-07-03 17:20:00,ALFA.ST_2026-07-03 17:20:00
ERIC-B.ST,TRIGGERED,106.6500015258789,106.0500030517578,105.25,106.85000610351562,0.75,0.75,0.43,0.76,2026-07-03 09:50:00,106.0500030517578,2026-07-03 17:20:00,ERIC-B.ST_2026-07-03 17:20:00
SEB-A.ST,TRIGGERED,197.4499969482422,196.9499969482422,195.9499969482422,197.9499969482422,0.51,0.51,1.61,0.51,2026-07-03 09:40:00,196.8000030517578,2026-07-03 17:20:00,SEB-A.ST_2026-07-03 17:20:00
SHB-A.ST,TRIGGERED,143.85000610351562,143.4499969482422,143.0500030517578,143.84999084472656,0.28,0.28,1.13,0.28,2026-07-03 09:35:00,143.5,2026-07-03 17:20:00,SHB-A.ST_2026-07-03 17:20:00
ATCO-A.ST,NOT_TRIGGERED,197.39999389648438,196.6999969482422,194.8000030517578,198.59999084472656,0.97,0.97,1.14,0.98,,,2026-07-03 17:25:00,ATCO-A.ST_2026-07-03 17:25:00
ALFA.ST,TRIGGERED,588.7999877929688,584.0,580.0,588.0,0.68,0.68,1.39,0.69,2026-07-03 10:35:00,584.7999877929688,2026-07-03 17:25:00,ALFA.ST_2026-07-03 17:25:00
ERIC-B.ST,TRIGGERED,106.44999694824219,106.05000305175781,105.25,106.85000610351562,0.75,0.75,0.43,0.76,2026-07-03 09:50:00,106.05000305175781,2026-07-03 17:25:00,ERIC-B.ST_2026-07-03 17:25:00
SEB-A.ST,TRIGGERED,197.1999969482422,196.9499969482422,195.9499969482422,197.9499969482422,0.51,0.51,1.61,0.51,2026-07-03 09:40:00,196.8000030517578,2026-07-03 17:25:00,SEB-A.ST_2026-07-03 17:25:00
SHB-A.ST,TRIGGERED,143.64999389648438,143.4499969482422,143.0500030517578,143.84999084472656,0.28,0.28,1.13,0.28,2026-07-03 09:35:00,143.5,2026-07-03 17:25:00,SHB-A.ST_2026-07-03 17:25:00
