label,tickers,ticker_count,trades,final_equity,total_return,win_rate,avg_trade,max_drawdown,profit_factor
ALL_TICKERS,"SHB-A.ST,ERIC-B.ST,ALFA.ST,ATCO-A.ST,EVO.ST,SEB-A.ST,ABB.ST",7,102,10215.7686773719,0.02157686773718992,0.6764705882352942,0.002096537414768532,-0.004908427875115584,1.7900664677588203
WITHOUT_EVO.ST,"SHB-A.ST,ERIC-B.ST,ALFA.ST,ATCO-A.ST,SEB-A.ST,ABB.ST",6,88,10210.679129323793,0.021067912932379196,0.6818181818181818,0.0023725282302070566,-0.0039257205040454934,2.0159329421209087
WITHOUT_ABB.ST,"SHB-A.ST,ERIC-B.ST,ALFA.ST,ATCO-A.ST,EVO.ST,SEB-A.ST",6,86,10201.027885650989,0.02010278856509884,0.6976744186046512,0.002318109623793886,-0.004258917228985637,1.8969240619292986
WITHOUT_ATCO-A.ST,"SHB-A.ST,ERIC-B.ST,ALFA.ST,EVO.ST,SEB-A.ST,ABB.ST",6,87,10188.790669439193,0.018879066943919387,0.6666666666666666,0.0021533173103615525,-0.0039027311824423316,1.8336941455740845
WITHOUT_SEB-A.ST,"SHB-A.ST,ERIC-B.ST,ALFA.ST,ATCO-A.ST,EVO.ST,ABB.ST",6,88,10183.161782538209,0.018316178253820814,0.6704545454545454,0.0020664529936574557,-0.004908427875115695,1.7463711518385736
WITHOUT_ALFA.ST,"SHB-A.ST,ERIC-B.ST,ATCO-A.ST,EVO.ST,SEB-A.ST,ABB.ST",6,88,10178.200773195973,0.01782007731959734,0.6931818181818182,0.0020109238306072236,-0.0052202611993859005,1.735494296668401
WITHOUT_SHB-A.ST,"ERIC-B.ST,ALFA.ST,ATCO-A.ST,EVO.ST,SEB-A.ST,ABB.ST",6,86,10170.656726038562,0.017065672603856274,0.6511627906976745,0.001971782912340306,-0.004908427875115695,1.6520389220169478
WITHOUT_ERIC-B.ST,"SHB-A.ST,ALFA.ST,ATCO-A.ST,EVO.ST,SEB-A.ST,ABB.ST",6,89,10160.204408258589,0.01602044082585885,0.6741573033707865,0.0017889875161329564,-0.0051840511804741585,1.7014111273924946
ERIC-B.ST,ERIC-B.ST,1,13,10054.688140986751,0.005468814098675168,0.6923076923076923,0.004202071336196702,-0.0016851066664231862,2.2595012981751994
SHB-A.ST,SHB-A.ST,1,16,10044.355003367516,0.004435500336751552,0.8125,0.002767092865320245,-0.0007663155701918001,5.231385106283781
ALFA.ST,ALFA.ST,1,14,10036.910162231095,0.0036910162231096333,0.5714285714285714,0.0026346799437824697,-0.0010317735591519606,2.223845943207254
SEB-A.ST,SEB-A.ST,1,14,10032.020403416944,0.0032020403416943566,0.7142857142857143,0.002285639490323867,-0.0016125538919835591,2.1851189874393966
ATCO-A.ST,ATCO-A.ST,1,15,10026.478125626458,0.0026478125626456794,0.7333333333333333,0.001767214020329011,-0.002721128723779276,1.5765284782395492
ABB.ST,ABB.ST,1,16,10014.450300387512,0.0014450300387511827,0.5625,0.000905586791257254,-0.0026524596984749405,1.2973479674552444
EVO.ST,EVO.ST,1,14,10004.984534313186,0.0004984534313186018,0.6428571428571429,0.0003617380034406608,-0.004355185026903019,1.077054542316284
