ticker,provider_symbol,instrument_name,hypothesis,subindustry,role,analysis_tier,security_type,exchange,currency,primary_benchmark,fallback_benchmark,analysis_start_year,analysis_end_year,discovery_eligible,validation_eligible,forward_eligible,continuity_status,predecessor_symbols,source_url,notes
SPY,SPY,State Street SPDR S&P 500 ETF Trust,generic_control,broad_market,market_benchmark,core,etf,NYSE_ARCA,USD,,,1998,,true,true,true,continuous,,https://www.ssga.com/us/en/individual/etfs/state-street-spdr-sp-500-etf-trust-spy,Canonical broad-market benchmark. Sample begins in 1998 although the fund predates the study.
XLE,XLE,State Street Energy Select Sector SPDR ETF,generic_control,energy_sector,sector_benchmark,core,etf,NYSE_ARCA,USD,SPY,,1999,,true,true,true,continuous,,https://www.ssga.com/us/en/individual/etfs/state-street-energy-select-sector-spdr-etf-xle,"Primary benchmark for refining stocks. Inception was after Labor Day 1998, so the first eligible event year is 1999."
XLY,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,generic_control,consumer_discretionary_sector,sector_benchmark,core,etf,NYSE_ARCA,USD,SPY,,1999,,true,true,true,continuous,,https://www.ssga.com/us/en/individual/etfs/state-street-consumer-discretionary-select-sector-spdr-etf-xly,Primary benchmark for auto-dealer and leisure-travel stocks. First eligible event year is 1999.
XLU,XLU,State Street Utilities Select Sector SPDR ETF,generic_control,utilities_sector,negative_control,core,etf,NYSE_ARCA,USD,SPY,,1999,,true,true,true,continuous,,https://www.ssga.com/us/en/individual/etfs/state-street-utilities-select-sector-spdr-etf-xlu,Unrelated-sector negative control. First eligible event year is 1999.
IWM,IWM,iShares Russell 2000 ETF,generic_control,small_cap_market,size_control,core,etf,NYSE_ARCA,USD,SPY,,2000,,true,true,true,continuous,,https://www.ishares.com/us/products/239710/ishares-russell-2000-etf,Small-cap size control. The May 2000 inception permits use around Labor Day 2000.
VLO,VLO,Valero Energy Corporation,refining_gasoline,independent_refiner,hypothesis_stock,core,common_stock,NYSE,USD,XLE,SPY,1998,,true,true,true,continuous,,https://investorvalero.com/,Long-history anchor for the refining hypothesis. Uses SPY in 1998 and XLE from 1999.
MPC,MPC,Marathon Petroleum Corporation,refining_gasoline,independent_refiner,hypothesis_stock,extension,common_stock,NYSE,USD,XLE,SPY,2012,,true,true,true,current_public_era,,https://www.marathonpetroleum.com/Investors/,Conservative first full Labor Day year after the 2011 public-company separation.
PSX,PSX,Phillips 66,refining_gasoline,independent_refiner,hypothesis_stock,extension,common_stock,NYSE,USD,XLE,SPY,2013,,true,true,true,current_public_era,,https://investor.phillips66.com/,Begins with the first Labor Day year having a full pre-event history after the 2012 separation.
DINO,DINO,HF Sinclair Corporation,refining_gasoline,independent_refiner,hypothesis_stock,extension,common_stock,NYSE,USD,XLE,SPY,2012,,true,true,true,predecessor_continuity,HFC,https://investor.hfsinclair.com/,Provider history may include the HFC predecessor. Phase 1C must verify continuity before returns are accepted.
PBF,PBF,PBF Energy Inc.,refining_gasoline,independent_refiner,hypothesis_stock,extension,common_stock,NYSE,USD,XLE,SPY,2013,,true,true,true,current_public_era,,https://investors.pbfenergy.com/,First eligible Labor Day year after the late-2012 public listing.
KMX,KMX,"CarMax, Inc.",auto_dealers,used_auto_retailer,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://investors.carmax.com/,Used-vehicle retailer and a direct auto-clearance hypothesis constituent.
AN,AN,"AutoNation, Inc.",auto_dealers,franchised_auto_retailer,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://investors.autonation.com/,Large franchised-dealer exposure.
LAD,LAD,"Lithia Motors, Inc.",auto_dealers,franchised_auto_retailer,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://investors.lithiadriveway.com/,Franchised-dealer exposure with long public history.
GPI,GPI,"Group 1 Automotive, Inc.",auto_dealers,franchised_auto_retailer,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://www.group1corp.com/,Franchised-dealer exposure.
PAG,PAG,"Penske Automotive Group, Inc.",auto_dealers,franchised_auto_retailer,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,predecessor_continuity,UAG,https://investors.penskeautomotive.com/,Formerly traded under UAG. Phase 1C must verify provider continuity across the symbol change.
MAR,MAR,"Marriott International, Inc.",domestic_leisure_travel,lodging,hypothesis_stock,core,common_stock,NASDAQ,USD,XLY,SPY,1998,,true,true,true,continuous,,https://marriott.gcs-web.com/,Long-history lodging exposure.
HLT,HLT,Hilton Worldwide Holdings Inc.,domestic_leisure_travel,lodging,hypothesis_stock,extension,common_stock,NYSE,USD,XLY,SPY,2014,,true,true,true,current_public_era,,https://ir.hilton.com/,Use only the current public-company era; do not stitch the earlier pre-private-equity listing.
CHH,CHH,"Choice Hotels International, Inc.",domestic_leisure_travel,lodging,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://investor.choicehotels.com/,Long-history lodging exposure.
CCL,CCL,Carnival Corporation & plc,domestic_leisure_travel,cruise,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://www.carnivalcorp.com/investors,Cruise and leisure-travel exposure.
RCL,RCL,Royal Caribbean Group,domestic_leisure_travel,cruise,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://www.rclinvestor.com/,Cruise and leisure-travel exposure.
LUV,LUV,Southwest Airlines Co.,domestic_leisure_travel,airline,hypothesis_stock,core,common_stock,NYSE,USD,XLY,SPY,1998,,true,true,true,continuous,,https://www.southwestairlinesinvestorrelations.com/,Long-history U.S. domestic airline exposure.
DAL,DAL,"Delta Air Lines, Inc.",domestic_leisure_travel,airline,hypothesis_stock,extension,common_stock,NYSE,USD,XLY,SPY,2008,,true,true,true,current_public_era,,https://ir.delta.com/,Use the post-bankruptcy public-company era only.
UAL,UAL,"United Airlines Holdings, Inc.",domestic_leisure_travel,airline,hypothesis_stock,extension,common_stock,NASDAQ,USD,XLY,SPY,2011,,true,true,true,current_public_era,,https://ir.united.com/,Use the current merged-company era only; do not stitch UAUA or CAL in the core analysis.
EXPE,EXPE,"Expedia Group, Inc.",domestic_leisure_travel,online_travel,hypothesis_stock,core,common_stock,NASDAQ,USD,XLY,SPY,2000,,true,true,true,continuous,,https://ir.expediagroup.com/,Online travel demand exposure; first full Labor Day event year after the 1999 listing.
BKNG,BKNG,Booking Holdings Inc.,domestic_leisure_travel,online_travel,hypothesis_stock,core,common_stock,NASDAQ,USD,XLY,SPY,2000,,true,true,true,predecessor_continuity,PCLN,https://ir.bookingholdings.com/,Formerly Priceline under PCLN. Phase 1C must verify adjusted-price continuity across the ticker change.
